sampno,mu,mu_short,tau,wane,sigma1,sigma2,MAX_TITRE,error,alpha,beta,kappa,t_change,boost_limit,gradient,titre_dependent,wane_type,mu_mean,mu_sd,rho_mean,rho_sd,rho,rho,rho,rho,rho,rho,rho,rho,rho,rho,rho,rho,rho,lnlike,likelihood,prior_prob
1001,1.9743716230616,0,0.241864766008221,0.8,0.179788739047945,1,8,2.22357117617503,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0.246515457937496,0,1.36421842919662,0,0,0,-0.241928217653185,0,0,2.26123516736552,0,0,0.803587775537745,-2032.32981727376,-1584.19012158515,-448.139695688608
1101,1.91065387092531,0,0.335332071282901,0.8,0.158786625624634,1,8,2.22357117617503,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,-0.252373046614228,0,1.20877081491053,0,0,0,-0.450854678219185,0,0,2.45727857137099,0,0,0.906936384318398,-2075.07925608113,-1589.59198017996,-485.487275901171
1201,1.91065387092531,0,0.228857669667341,0.8,0.134967417293228,1,8,2.22357117617503,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0.0416785025037845,0,0.981719343969595,0,0,0,-0.481284601427615,0,0,2.1216367112007,0,0,0.460669539822266,-1944.08671970546,-1576.78087457107,-367.305845134383
1301,2.14843193218112,0,0.226833709040657,0.8,0.145440058968961,1,8,2.10547575075179,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0.0115894426591718,0,1.09638205408118,0,0,0,-0.257252685818822,0,0,2.2756787609309,0,0,0.815014943154529,-1995.74193549857,-1572.92439132082,-422.817544177752
1401,1.89991790093482,0,0.214285464459099,0.8,0.136639822646976,1,8,2.10547575075179,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0.280579533521089,0,1.10186830391176,0,0,0,-0.0347595490515227,0,0,2.40205364236608,0,0,0.673276061983779,-1910.64771382126,-1565.55402370992,-345.093690111336
1501,1.8366883745417,0,0.120127020813525,0.8,0.127763558994047,1,8,2.10547575075179,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0.215947046410296,0,1.16938244435005,0,0,0,-0.0345572702586643,0,0,2.58725613085553,0,0,0.740524519840256,-1966.42011715226,-1554.70766536986,-411.712451782394
1601,1.95958582498133,0,0.161695970306173,0.8,0.134059013566002,1,8,2.11418032052461,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0.135917493514719,0,1.65189349199645,0,0,0,-0.0741852544248105,0,0,2.53011677740142,0,0,0.694573899731041,-1973.45191673462,-1576.65648736682,-396.795429367793
1701,2.02849000338465,0,0.165189302773215,0.8,0.135896777408198,1,8,2.11418032052461,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0.0156949440948688,0,1.79614634676836,0,0,0,0.0700647514779118,0,0,2.59859689585865,0,0,0.667479518149049,-1985.69289430359,-1573.02370186035,-412.669192443238
1801,1.92224532701075,0,0.219669057861902,0.8,0.135406077862717,1,8,2.11418032052461,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,-0.082989147165788,0,1.3729160639923,0,0,0,-0.321280475193635,0,0,2.719011237612,0,0,0.667379837902264,-1884.09413521214,-1569.48419045255,-314.609944759593
1901,1.95824800506234,0,0.287777163498104,0.8,0.135406077862717,1,8,2.11418032052461,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0.194572385726499,0,1.09121371111832,0,0,0,-0.180922959046439,0,0,2.67541534802876,0,0,0.667959859734403,-1923.256483642,-1558.80982200594,-364.446661636067
2001,2.29429398216307,0,0.237248440682888,0.8,0.120830322545953,1,8,2.11418032052461,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,-0.211675626039503,0,0.685301794949916,0,0,0,-0.477943883556873,0,0,2.43330179043114,0,0,0.733822891674937,-1916.38469560278,-1548.03247096309,-368.352224639693
2101,2.52130283528966,0,0.564771804617991,0.8,0.144028417219389,1,8,2.13234575580069,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,-0.358993468290065,0,1.09398648060941,0,0,0,-0.0696767698854046,0,0,2.66041960376799,0,0,0.74871133573038,-1849.30396041654,-1561.12644099958,-288.177519416959
2201,2.86225520779053,0,0.473198402554393,0.8,0.133440572148436,1,8,2.13234575580069,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,-0.0926148574565429,0,1.06370297059949,0,0,0,-0.699942289465967,0,0,2.33607557088751,0,0,0.71300248275151,-1932.9353890806,-1544.47758403334,-388.457805047259
2301,2.58019225840177,0,0.530069511067298,0.8,0.143626275234856,1,8,2.0750678668744,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,-0.0242460949158154,0,0.72631671448703,0,0,0,-0.489185616065389,0,0,2.25991189593447,0,0,0.852754938838194,-1976.95058154875,-1563.2217432901,-413.728838258654
2401,2.7151629534676,0,0.40405065000099,0.8,0.149981366859238,1,8,2.06949124288687,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,-0.0372498983182208,0,0.723348258644768,0,0,0,-0.473777804331815,0,0,2.33606020265244,0,0,0.867068045119317,-1925.89128097761,-1531.69224164621,-394.199039331405
2501,2.56413939402076,0,0.837165076618342,0.8,0.113224251859008,1,8,2.06295632839137,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0.0187224652613054,0,1.17509266920443,0,0,0,-0.0292353080662737,0,0,2.46964678601227,0,0,0.990274565674491,-1973.03456578641,-1562.21563441973,-410.818931366683
2601,2.76858706463673,0,0.723044193606826,0.8,0.139918236815203,1,8,2.16524446490319,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,-0.112679979223768,0,0.842103555872155,0,0,0,-0.598108975087325,0,0,2.49712072733011,0,0,1.16649281217785,-1942.23283552008,-1579.62252341714,-362.610312102933
2701,2.7568318831064,0,0.756370180200159,0.8,0.159521567267468,1,8,2.16524446490319,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,-0.110422326740537,0,0.920305202783993,0,0,0,-0.54518319962563,0,0,2.21416226107464,0,0,0.824639097695575,-1985.45877426876,-1566.37549834362,-419.083275925135
2801,2.7593627942624,0,0.908336674969258,0.8,0.160989004160888,1,8,2.13152616651371,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0.00974592564365961,0,1.53466872062944,0,0,0,-0.462942917299398,0,0,2.89267200543039,0,0,1.58817089354231,-1918.74770897663,-1576.2212875208,-342.526421455827
2901,3.06208770115942,0,0.662881996967524,0.8,0.189712873336658,1,8,2.13152616651371,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,-0.091627442912777,0,1.32917886148426,0,0,0,-0.122789482861955,0,0,2.4608900702383,0,0,1.20218345235775,-1953.19534762962,-1547.0124652932,-406.18288233642
3001,3.1904316309404,0,0.517791606449372,0.8,0.170399315342033,1,8,2.10783213877663,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,0.23152015770018,0,1.32917886148426,0,0,0,-0.263107648299705,0,0,2.21227518747193,0,0,1.24977490724017,-1906.7700640378,-1551.0629361504,-355.707127887401
3101,2.89229765947083,0,0.475999373186047,0.8,0.156847785840889,1,8,2.14423779782331,0.333333333333333,0.333333333333333,0.9,6,6,0.2,0,0,2,0.5,0,1,-0.161867004522808,0,0.848913600634535,0,0,0,-0.290281536172597,0,0,2.50515588492382,0,0,1.05449427640735,-1912.23971178201,-1547.21571094955,-365.024000832457
